anzsco_unit_group,unit_group_name,tier,avg_stock,annual_ceiling,grants_py24_25,remaining_py25_26,program_year,source,source_url,retrieved_date
2613,Software and Applications Programmers,4,182332,912,3800,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2611,ICT Business and Systems Analysts,4,43169,500,2018,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2621,Database and Systems Administrators and ICT Security Specialists,4,68049,500,643,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2631,Computer Network Professionals,4,43895,500,756,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2632,ICT Support and Test Engineers,,,,,,2025-26,Not on PY25/26 ceiling list (no 189 invitations published),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2247,Management and Organisation Analysts,3,101112,1011,408,603,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2612,Multimedia Specialists and Web Developers,4,12642,500,213,287,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2633,Telecommunications Engineering Professionals,4,16683,500,272,228,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
3132,Telecommunications Technical Specialists,4,3633,500,62,438,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2211,Accountants,4,207708,1039,3025,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
2212,Auditors Company Secretaries and Corporate Treasurers,4,31905,500,751,,2025-26,Home Affairs FOI FA 26/01/00545 (republished by Delta Immigration),https://www.deltaimmigration.com.au/Australia-jobs/occupation-ceilings.php,2026-05-12
